评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:那就别说了，至于到底是扭送行为还是故意伤人，就看新的调查吧,0,2020-08-26 22:19
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:主要是后边反转的事太多了哪，没看完整的不信一方的话,0,2020-08-26 22:16
https://weibo.cn//u/7458106786,渡幺叁居,男,其他,0,13,1,回复@渡幺叁居:如果事情只是这样罢了，无论如何，这个社会终是要损失一批善良的人了。,0,2020-08-26 22:14
https://weibo.cn//u/7458106786,渡幺叁居,男,其他,0,13,1,见义勇为被抓，最终影响了高考，前途被毁，复考又因为改革的原因无比艰难，为众人抱薪者，终是死于风雪中了，心寒，如此迟到的判决让那些心怀正义的人以后怎么敢保护别人，难道也只能等舆论闹大之后接触拘留吗？或者没有闹大，只能暗暗忍下，以后再也不敢伸手救助他人。,1,2020-08-26 22:14
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:警察都不知道，你又知道了？,0,2020-08-26 22:12
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:这个学生手有伤，雷某在逃跑过程中用脚是最快的办法，这是为了阻止他逃跑，懂吗,0,2020-08-26 22:11
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:简单啊，就看他倒地以后有没有踢第二脚，如果有第二脚，第三脚，那就是在泄愤了，他这个是男朋友，泄愤的可能性会很大，所以警察把他抓起来也并没有错,0,2020-08-26 22:11
https://weibo.cn//u/5522196336,也曾踏月下長安,女,陕西,240,828,2558,@努努力就能平淡,0,2020-08-26 22:09
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:你就没搞清楚猥亵是猥亵，打人是打人，只有公安才有权处理，老百姓不能用私刑，就像你抓到小偷，你自己不能打，只能交给警察。,0,2020-08-26 22:08
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:打是事实，但是算不算故意伤人才是问题的核心,0,2020-08-26 22:06
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,回复@衾梦烟:,0,2020-08-26 22:05
https://weibo.cn//u/2682855961,传说中的大博,男,广东,244,133,117,回复@红HongFeng:在新华书店,0,2020-08-26 22:04
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:所以还是打人了啊,0,2020-08-26 22:04 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:如果是讹人的话，雷某更应该受到法律处罚，这个学生就没错了,0,2020-08-26 22:04 
https://weibo.cn//u/7295867285,滑稽之道友请留步,男,其他,1,153,1,回复@包包脸Grace:就怕市级也处理不干净……毕竟永州前科挺多的,0,2020-08-26 22:02 
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:很简单，小P孩连一爷爷都敢打，信不信我讹死你？,0,2020-08-26 22:02 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:我揣倒你，你倒地时又磕了一下，很正常啊,0,2020-08-26 21:47 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@王八蛋碰到大混蛋:6月一号踹的，6号才说是骨折，请问中间这几天是怎么回事,0,2020-08-26 21:46 
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,踢人的视频个为什么没有啊！哪个不是很重要啊！,0,2020-08-26 21:46 
https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@风流寰宇:一脚就两处骨折，李小龙啊,0,2020-08-26 21:43 
https://weibo.cn//u/1030672611,为什么豆豆爱咬我,男,山东,0,72,137,好好查查你们单位那位黄警官跟猥亵犯是不是一伙的,0,2020-08-26 21:43 
https://weibo.cn//u/5079916691,奇怪的西瓜君,男,贵州,32,116,240,回复@ZBrush爱好者:之前唐慧案就是这个地方发生的，一群人强奸幼女报案不给立案，JC说是幼女在卖淫。舆论发酵后涉案人员被判了刑，冷水滩分局帮强奸幼女的犯人伪造“立功材料”，帮助他们减刑。女孩妈妈上访被判劳教。,0,2020-08-26 21:42 
https://weibo.cn//u/5079916691,奇怪的西瓜君,男,贵州,32,116,240,回复@lzyhd623:警匪一家亲。扫黑除恶演给谁看呢。,3,2020-08-26 21:41 
https://weibo.cn//u/5573226771,红HongFeng,男,广东,145,162,8,回复@传说中的大博:请问你的书在哪里可以买到,0,2020-08-26 21:28 
https://weibo.cn//u/7020727011,DanaZacharia,女,其他,2,396,11,回复@只说实话_73861:别洗了好嘛 在雷某要逃跑的时候 男孩是主观拦截 不是主观伤人,0,2020-08-26 21:22 
https://weibo.cn//u/7020727011,DanaZacharia,女,其他,2,396,11,回复@你的背包lonely:确定猥亵  老头自己承认的  然后之前也同样袭胸另一个女孩,0,2020-08-26 21:19 
https://weibo.cn//u/5294454399,桑海桑田一只李子,女,其他,1287,334,148,回复@不用审了:还有就是你一句话引得一堆人来怼你，你觉得众人皆醉你独醒，你要么把话从头到尾讲清楚，要么被怼也是你该的。,1,2020-08-26 21:18 
https://weibo.cn//u/5294454399,桑海桑田一只李子,女,其他,1287,334,148,回复@不用审了:我是不懂这部分的法律是怎么界定的，但是又去看了一遍这篇报道。通篇没有提到一个见义勇为，只说了防卫。再有，见义勇为是好事，是可以奖励的，但是我们现在奖励不谈，我们要的是坏人得到惩罚。,0,2020-08-26 21:14 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@奶香荷兰云:你高低学点基础知识再出来现眼吧,0,2020-08-26 21:14 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:我还是那意思，事实归事实，评价归评价，事实如果构成了，那就是构成了，要尊重法律。但是构成了不一定要罚，这个是评价问题,0,2020-08-26 21:13 
https://weibo.cn//u/7351937869,可爱的王铁柱111,男,其他,1190,239,5,这个感觉还是有点含糊其辞啊 第一个男子行为是性骚扰 但是报道避开了性骚扰三个字 只说是触碰胸部 第二个男子粉碎性骨折不是过后好几天才出现的吗 被少年踢的当天还去做笔录了 这些怎么都没说 光看报道 感觉就像是迫于舆论压力所以给少年释放了,1,2020-08-26 21:12 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@奶香荷兰云:男的跟我这样怎么了？好像谁看得上你一样,0,2020-08-26 21:11 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@奶香荷兰云:民法通则就没有见义勇为四个字,0,2020-08-26 21:07 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@奶香荷兰云:民法通则第几条，扯淡，你给我找,0,2020-08-26 21:06 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:没理了，就开始骂人了，厉害厉害,0,2020-08-26 21:04 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@不用审了:我还是那意思，事实归事实，评价归评价，事实如果构成了，那就是构成了，要尊重法律。但是构成了不一定要罚，这个是评价问题,0,2020-08-26 21:04 
https://weibo.cn//u/5495807029,奶香荷兰云,女,其他,1688,52,108,回复@不用审了:咱别在这装理中客了行吗？男的要都你这样真完了,0,2020-08-26 21:03 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:当然，如果伤不是他造成的那肯定不构成故意伤害。我从一开始就没说应该判刑，我只是说主观上不构成见义勇为，有故意的嫌疑，这楼就开始喷我了。判刑不只公安一道门，后面还有检察院和法院，哪道门都可能把他筛掉，网友就是跟着节奏飞,0,2020-08-26 21:02 
https://weibo.cn//u/5495807029,奶香荷兰云,女,其他,1688,52,108,回复@不用审了:还说我杠，自己前几条信誓旦旦的在那儿跟别人辩论说，他是她男朋友挽着手呢所以不算见义勇为，结果又在这跟我说我没明白你啥意思。咋了，是自己打自己脸声音更好听一点？,0,2020-08-26 21:01 
https://weibo.cn//u/5294454399,桑海桑田一只李子,女,其他,1287,334,148,回复@不用审了:那你在这儿说什么见义勇为？,0,2020-08-26 21:00 
https://weibo.cn//u/5495807029,奶香荷兰云,女,其他,1688,52,108,回复@不用审了:其次这个出自民法通则,0,2020-08-26 20:59 
https://weibo.cn//u/5845555383,衾梦烟,女,海外,488,161,1079,回复@一只小兔rabbit:所以，我其实有时候不太相信GJ也不太信法律或者以前读书说的，有问题和困难就找警察叔叔这种屁话了,0,2020-08-26 20:59 
https://weibo.cn//u/5495807029,奶香荷兰云,女,其他,1688,52,108,回复@不用审了:你别杠了求你了，你是你他是他，你是他脑子里的蛔虫？你知道人家当时是想撒气还是想把他踹倒之后抓走？提出没有证据无法证实的疑点是不算数的你懂不懂？这就算主观懂吗？我真服了,0,2020-08-26 20:58 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@桑海桑田一只李子:别不懂装懂好吗？故意伤害是一个案子，猥亵是另一个案子，这是两码事，而且没有猥亵罪，只有强制猥亵罪，猥亵男的行为并不构成强制猥亵罪,0,2020-08-26 20:58 
https://weibo.cn//u/5845555383,衾梦烟,女,海外,488,161,1079,回复@传说中的大博:不怕，你是正义之师,0,2020-08-26 20:57 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:真就众人皆醉我独醒了呗，照你这么说那些律师和教授都是错的，就你对？,0,2020-08-26 20:57 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:我的意思是你通过主观动机就判断男生是故意伤害不妥，而且猥亵者的伤一定是男生踹的那脚造成的？女生被当众猥亵，阻止猥亵者逃离现场，就算不是见义勇为，但是也不应该入刑。,0,2020-08-26 20:54 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:人家都粉碎性骨折了，还能去调解吗？你是傻子吧？,0,2020-08-26 20:54 
https://weibo.cn//u/5294454399,桑海桑田一只李子,女,其他,1287,334,148,回复@不用审了:你有脑子？？？见义勇为说这个犯罪事件的重点？？？这个案件审的是猥亵罪！！,0,2020-08-26 20:53 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:你从哪看见是不同意调节，还追出去打的，分明是猥亵男要逃跑，男同学为了拦住他，揣了一脚，当时警察都没去呢,0,2020-08-26 20:53 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:我谁都不认识，没必要洗。是你们被讼棍律师玩惨了。帮助别人洗罪。,0,2020-08-26 20:52 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:告诉你，这个案件就是，情侣不同意警方调解，追出去打人粉碎性骨折，就是故意伤害行为。没有其他可讲的。,0,2020-08-26 20:50 
https://weibo.cn//u/7387042091,煙雨RSQ,女,其他,11,23,1,回复@是孟亦田:已经没有正义了,0,2020-08-26 20:50 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:别扯别的，就说这起猥亵案，你都不了解就开始洗，还挺有理，真有意思,0,2020-08-26 20:50 
https://weibo.cn//u/5512918555,一位不愿凑热闹的吃瓜群众,女,安徽,154,59,244,回复@北川光明:是同学。还没有成年！被猥亵者才17岁，那个老色鬼52岁！当地警察还包庇，真她妈恶心,0,2020-08-26 20:50 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:我们说的可都是庭审看下来的结果，我们可不敢造谣。,0,2020-08-26 20:49 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:受伤是事实，但是不是故意伤人，让你找罗翔的视频看看，你又不看，就会瞎扯,1,2020-08-26 20:49 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:与本案有关系吗，扯别的案子干嘛，再说了我看了，你和那个巨人明显是一伙的，根本就没有真凭实据，全靠一张嘴,1,2020-08-26 20:48 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:有理给人家一万元干什么，此地无银三百两。你自己可笑不？,0,2020-08-26 20:47 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:人父亲在6月10日已经给了1万元医疗费，后来雷某有要二十万，你可以自己在网上找关于本案的视频了解一下，别硬洗，长点脑子,1,2020-08-26 20:46 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:你可别瞎说了，真的砸锅卖铁，就不会舆论断案了。李雷的事情全部都是王浪律师造谣，让你去看，你又不看。,0,2020-08-26 20:45 
